Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Spider-Man: Across the Spider-Verse,tt9362722,2023,"Animation, Action, Adventure","Directors:, Joaquim Dos Santos, , Kemp Powers, , Justin K. Thompson, | ,     Stars:, Shameik Moore, , Hailee Steinfeld, , Brian Tyree Henry, , Luna Lauren Velez","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",9.1,140 min,PG,71960,
The Super Mario Bros. Movie,tt6718170,2023,"Animation, Adventure, Comedy","Directors:, Aaron Horvath, , Michael Jelenic, , Pierre Leduc, , Fabien Polack, | ,     Stars:, Chris Pratt, , Anya Taylor-Joy, , Charlie Day, , Jack Black","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.",7.2,92 min,PG,134835,
Spider-Man: Into the Spider-Verse,tt4633694,2018,"Animation, Action, Adventure","Directors:, Bob Persichetti, , Peter Ramsey, , Rodney Rothman, | ,     Stars:, Shameik Moore, , Jake Johnson, , Hailee Steinfeld, , Mahershala Ali",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,8.4,117 min,PG,575321,"190,241,310"
Demon Slayer: Kimetsu no Yaiba,tt9335498,2019– ,"Animation, Action, Adventure","Stars:, Natsuki Hanae, , Zach Aguilar, , Akari Kitô, , Abby Trott","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",8.7,24 min,TV-MA,121042,
The Little Mermaid,tt0097757,1989,"Animation, Adventure, Family","Directors:, Ron Clements, , John Musker, | ,     Stars:, Jodi Benson, , Samuel E. Wright, , Rene Auberjonois, , Christopher Daniel Barnes",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,7.6,83 min,G,276494,"111,543,479"
Attack on Titan,tt2560140,2013–2023,"Animation, Action, Adventure","Stars:, Josh Grelle, , Bryce Papenbrook, , Yûki Kaji, , Yui Ishikawa","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9.1,24 min,TV-MA,413124,
One Piece,tt0388629,1999– ,"Animation, Action, Adventure","Stars:, Mayumi Tanaka, , Laurent Vernin, , Tony Beck, , Akemi Okamura","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",8.9,24 min,TV-14,146388,
Elemental,tt15789038,2023,"Animation, Adventure, Comedy","Director:, Peter Sohn, | ,     Stars:, Leah Lewis, , Mamoudou Athie, , Ronnie Del Carmen, , Shila Ommi","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.",6.5,103 min,PG,73,
Vinland Saga,tt10233448,2019– ,"Animation, Action, Adventure","Stars:, Yûto Uemura, , Mike Haimoto, , Alejandro Saab, , Aleks Le",Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,8.8,24 min,TV-MA,50941,
Rick and Morty,tt2861424,2013– ,"Animation, Adventure, Comedy","Stars:, Justin Roiland, , Chris Parnell, , Spencer Grammer, , Sarah Chalke",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,9.1,23 min,TV-MA,553085,
South Park,tt0121955,1997– ,"Animation, Comedy","Stars:, Trey Parker, , Matt Stone, , Isaac Hayes, , Mona Marshall","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",8.7,22 min,TV-14,388855,
The Simpsons,tt0096697,1989– ,"Animation, Comedy","Stars:, Dan Castellaneta, , Nancy Cartwright, , Harry Shearer, , Julie Kavner",The satiric adventures of a working-class family in the misfit city of Springfield.,8.7,22 min,TV-14,418396,
Family Guy,tt0182576,1999– ,"Animation, Comedy","Stars:, Seth MacFarlane, , Alex Borstein, , Seth Green, , Mila Kunis","In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another.",8.2,22 min,TV-MA,350955,
Puss in Boots: The Last Wish,tt3915174,2022,"Animation, Adventure, Comedy","Directors:, Joel Crawford, , Januel Mercado, | ,     Stars:, Antonio Banderas, , Salma Hayek, , Harvey Guillén, , Florence Pugh","When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.",7.9,102 min,PG,131764,"168,464,485"
Star Wars: The Clone Wars,tt0458290,2008–2020,"Animation, Action, Adventure","Stars:, Tom Kane, , Dee Bradley Baker, , Matt Lanter, , James Arnold Taylor",Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,8.4,23 min,TV-PG,107266,
Clone High,tt14028208,2023– ,"Animation, Comedy, Sci-Fi","Stars:, Jana Schmieding, , Will Forte, , Phil Lord, , Christopher Miller","Historical figures who have been cloned and placed back in high school, including Abraham Lincoln, Cleopatra, Joan of Arc, John F. Kennedy and more, as they face the trials of normal teenage life.",6.8,,TV-14,358,
Bob's Burgers,tt1561755,2011– ,"Animation, Comedy","Stars:, H. Jon Benjamin, , Dan Mintz, , Eugene Mirman, , John Roberts",Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.,8.2,22 min,TV-14,86111,
