Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Ted Lasso,tt10986410,2020–2023,"Comedy, Drama, Sport","Stars:, Jason Sudeikis, , Brett Goldstein, , Brendan Hunt, , Nick Mohammed","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",8.8,30 min,TV-MA,274860,
Air,tt16419074,I) (2023,"Drama, Sport","Director:, Ben Affleck, | ,     Stars:, Matt Damon, , Jason Bateman, , Ben Affleck, , Chris Messina","Follows the history of shoe salesman Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.",7.5,111 min,R,96484,
White Men Can't Jump,tt6436620,2023,"Comedy, Drama, Sport","Director:, Calmatic, | ,     Stars:, Sinqua Walls, , Jack Harlow, , Lance Reddick, , Teyana Taylor",A remake of the 1992 film about a pair of basketball hustlers who team up to earn extra cash.,4.9,101 min,R,6619,
All American,tt7414406,2018– ,"Drama, Sport","Stars:, Daniel Ezra, , Samantha Logan, , Michael Evans Behling, , Greta Onieogou","When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide.",7.6,45 min,TV-14,12770,
Shooting Stars,tt3715152,2023,"Biography, Drama, History","Director:, Chris Robinson, | ,     Stars:, Marquis Mookie Cook, , Wood Harris, , Caleb McLaughlin, , Avery Serell Wills Jr.",A look at the young life of basketball star LeBron James. Feature film adaptation of LeBron James and Buzz Bissinger's book 'Shooting Stars'.,6.5,,PG-13,508,
Creed III,tt11145118,2023,"Drama, Sport","Director:, Michael B. Jordan, | ,     Stars:, Michael B. Jordan, , Tessa Thompson, , Jonathan Majors, , Wood Harris","Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",6.9,116 min,PG-13,60642,
White Men Can't Jump,tt0105812,1992,"Comedy, Sport","Director:, Ron Shelton, | ,     Stars:, Wesley Snipes, , Woody Harrelson, , Rosie Perez, , Tyra Ferrell",Black and white basketball hustlers join forces to double their chances of winning money on the street courts and in a basketball tournament.,6.8,115 min,R,93086,"76,253,806"
One Tree Hill,tt0368530,2003–2012,"Drama, Romance, Sport","Stars:, Chad Michael Murray, , James Lafferty, , Hilarie Burton, , Bethany Joy Lenz","Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.",7.8,60 min,TV-14,83444,
Cobra Kai,tt7221388,2018–2023,"Action, Comedy, Drama","Stars:, Ralph Macchio, , William Zabka, , Courtney Henggeler, , Xolo Maridueña","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",8.5,30 min,TV-14,193905,
Champions,tt15339570,2023,"Comedy, Drama, Sport","Director:, Bobby Farrelly, | ,     Stars:, Woody Harrelson, , Kaitlin Olson, , Matt Cook, , Ernie Hudson","A former minor-league basketball coach is ordered by the court to manage a team of players with intellectual disabilities. He soon realizes that despite his doubts, together, this team can go further than they ever imagined.",6.7,124 min,PG-13,12600,
The Karate Kid,tt0087538,1984,"Action, Drama, Family","Director:, John G. Avildsen, | ,     Stars:, Ralph Macchio, , Pat Morita, , Elisabeth Shue, , Martin Kove",A martial arts master agrees to teach karate to a bullied teenager.,7.3,126 min,PG,233296,"90,815,558"
Cars,tt0317219,2006,"Animation, Adventure, Comedy","Directors:, John Lasseter, , Joe Ranft, | ,     Stars:, Owen Wilson, , Bonnie Hunt, , Paul Newman, , Larry the Cable Guy","On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",7.2,117 min,G,439593,"244,082,982"
A League of Their Own,tt0104694,1992,"Comedy, Drama, Sport","Director:, Penny Marshall, | ,     Stars:, Tom Hanks, , Geena Davis, , Lori Petty, , Madonna",Two sisters join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry.,7.3,128 min,PG,115039,"107,533,928"
Friday Night Lights,tt0758745,2006–2011,"Drama, Sport","Stars:, Kyle Chandler, , Connie Britton, , Zach Gilford, , Aimee Teegarden","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",8.7,44 min,TV-14,69102,
Big George Foreman,tt12226632,2023,"Biography, Drama, Sport","Director:, George Tillman Jr., | ,     Stars:, Khris Davis, , Jasmine Mathews, , Sullivan Jones, , Lawrence Gilliard Jr.",The life and boxing career of George Foreman.,6.5,129 min,PG-13,2509,
Ford v Ferrari,tt1950186,2019,"Action, Biography, Drama","Director:, James Mangold, | ,     Stars:, Matt Damon, , Christian Bale, , Jon Bernthal, , Caitríona Balfe",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,8.1,152 min,PG-13,419820,"117,624,028"
Sanctuary,tt16970638,2023– ,"Drama, Sport","Stars:, Leonard Wu, , Earl Baylon, , Willis Chung, , Wataru Ichinose","A man who is driven to the edge of a cliff and believes that money, a woman, and fame are all buried in the ring, And goes up to a sumo rikishi.",8.0,60 min,TV-MA,2572,
Moneyball,tt1210166,2011,"Biography, Drama, Sport","Director:, Bennett Miller, | ,     Stars:, Brad Pitt, , Robin Wright, , Jonah Hill, , Philip Seymour Hoffman",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,7.6,133 min,PG-13,440158,"75,605,492"
American Gladiators,tt0096532,1989–1997,"Action, Game-Show, Sport","Stars:, Mike Adamle, , Jim Starr, , Raye Hollitt, , Larry Thompson","The teams compete in such events as Power Ball, Assault, The Wall and Hang Tough. The Eliminator round decides the winner of the tournament.",6.4,60 min,TV-PG,2765,
80 for Brady,tt18079362,2023,"Comedy, Drama, Sport","Director:, Kyle Marvin, | ,     Stars:, Lily Tomlin, , Jane Fonda, , Rita Moreno, , Sally Field",A group of friends made it their life-long mission to go to the Super Bowl and meet NFL superstar Tom Brady.,5.8,98 min,PG-13,7300,
Coach Carter,tt0393162,2005,"Biography, Drama, Sport","Director:, Thomas Carter, | ,     Stars:, Samuel L. Jackson, , Rick Gonzalez, , Robert Ri'chard, , Rob Brown",Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,7.3,136 min,PG-13,160901,"67,264,877"
Dodgeball: A True Underdog Story,tt0364725,2004,"Comedy, Sport","Director:, Rawson Marshall Thurber, | ,     Stars:, Ben Stiller, , Christine Taylor, , Vince Vaughn, , Rip Torn",A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,6.7,92 min,PG-13,257933,"114,326,736"
She's the Man,tt0454945,2006,"Comedy, Romance, Sport","Director:, Andy Fickman, | ,     Stars:, Amanda Bynes, , Laura Ramsey, , Channing Tatum, , Vinnie Jones","When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles.",6.3,105 min,PG-13,166542,"2,339,735"
Rocky,tt0075148,1976,"Drama, Sport","Director:, John G. Avildsen, | ,     Stars:, Sylvester Stallone, , Talia Shire, , Burt Young, , Carl Weathers",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,8.1,120 min,PG,598945,"117,235,247"
The Sandlot,tt0108037,1993,"Comedy, Drama, Family","Director:, David Mickey Evans, | ,     Stars:, Tom Guiry, , Mike Vitar, , Art LaFleur, , Patrick Renna","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",7.8,101 min,PG,96610,"32,416,586"
Eastbound & Down,tt0866442,2009–2013,"Comedy, Drama, Sport","Stars:, Danny McBride, , Steve Little, , Katy Mixon, , Elizabeth De Razzo","Many years after he turned his back on his hometown, a burned-out major league ballplayer returns to teach Physical Education at his old middle school.",8.2,28 min,TV-MA,60708,
Bring It On,tt0204946,2000,"Comedy, Romance, Sport","Director:, Peyton Reed, | ,     Stars:, Kirsten Dunst, , Eliza Dushku, , Jesse Bradford, , Gabrielle Union",A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,6.1,98 min,PG-13,100419,"68,379,000"
