Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
FUBAR,tt13064902,2023– ,"Action, Adventure, Thriller","Stars:, Arnold Schwarzenegger, , Monica Barbaro, , Milan Carter, , Gabriel Luna",A C.I.A. operative on the edge of retirement discovers a family secret and is called back into the field for one last job.,6.5,,TV-MA,15492,
John Wick: Chapter 4,tt10366206,2023,"Action, Crime, Thriller","Director:, Chad Stahelski, | ,     Stars:, Keanu Reeves, , Laurence Fishburne, , George Georgiou, , Lance Reddick","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",8.0,169 min,R,195213,
Fast X,tt5433140,2023,"Action, Adventure, Crime","Director:, Louis Leterrier, | ,     Stars:, Vin Diesel, , Michelle Rodriguez, , Jason Statham, , Jordana Brewster",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,6.3,141 min,PG-13,39376,
Yellowjackets,tt11041332,2021– ,"Drama, Horror, Mystery","Stars:, Melanie Lynskey, , Tawny Cypress, , Sophie Nélisse, , Jasmin Savoy Brown",A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Canadian wilderness.,7.8,60 min,TV-MA,67199,
From,tt9813792,2022– ,"Drama, Horror, Mystery","Stars:, Scott McCord, , Harold Perrineau, , Catalina Sandino Moreno, , Eion Bailey","Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normalcy and seek a way out, they must also survive the threats of the surrounding forest.",7.7,52 min,TV-MA,36742,
Love & Death,tt14586350,2023,"Biography, Crime, Drama","Stars:, Elizabeth Olsen, , Jesse Plemons, , Lily Rabe, , Patrick Fugit",Two churchgoing couples enjoy small town family life in Texas - until somebody picks up an axe.,7.6,378 min,TV-MA,17133,
Killers of the Flower Moon,tt5537002,2023,"Crime, Drama, History","Director:, Martin Scorsese, | ,     Stars:, Leonardo DiCaprio, , Robert De Niro, , Lily Gladstone, , Jesse Plemons","Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s, sparking a major F.B.I. investigation involving J. Edgar Hoover.",9.5,206 min,R,903,
Citadel,tt9794044,2023– ,"Action, Drama, Thriller","Stars:, Richard Madden, , Priyanka Chopra Jonas, , Stanley Tucci, , Ashleigh Cummings","Global spy agency Citadel has fallen, and its agents' memories were wiped clean. Now the powerful syndicate, Manticore, is rising in the void. Can the Citadel agents recollect their past and summon the strength to fight back?",6.1,,TV-14,20923,
Black Mirror,tt2085059,2011– ,"Drama, Mystery, Sci-Fi","Stars:, Daniel Lapaine, , Hannah John-Kamen, , Michaela Coel, , Beatrice Robertson-Jones","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",8.8,60 min,TV-MA,575088,
Hypnotic,tt8080204,2023,"Action, Mystery, Thriller","Director:, Robert Rodriguez, | ,     Stars:, Ben Affleck, , Alice Braga, , JD Pardo, , Dayo Okeniyi",A detective investigates a mystery involving his missing daughter and a secret government program.,5.4,93 min,R,8756,
Shazam! Fury of the Gods,tt10151854,2023,"Action, Adventure, Comedy","Director:, David F. Sandberg, | ,     Stars:, Zachary Levi, , Asher Angel, , Jack Dylan Grazer, , Rachel Zegler","The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.",6.0,130 min,PG-13,82555,
