Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Killers of the Flower Moon,tt5537002,2023,"Crime, Drama, History","Director:, Martin Scorsese, | ,     Stars:, Leonardo DiCaprio, , Robert De Niro, , Lily Gladstone, , Jesse Plemons","Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s, sparking a major F.B.I. investigation involving J. Edgar Hoover.",9.5,206 min,R,903,
Yellowstone,tt4236770,2018–2023,"Drama, Western","Stars:, Kevin Costner, , Luke Grimes, , Kelly Reilly, , Wes Bentley",A ranching family in Montana faces off against others encroaching on their land.,8.7,60 min,TV-MA,178710,
1923,tt18335752,2022–2023,"Drama, Western","Stars:, Harrison Ford, , Helen Mirren, , Brandon Sklenar, , Julia Schlaepfer","The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition, and the Great Depression.",8.4,60 min,TV-MA,36095,
Justified,tt1489428,2010–2015,"Action, Crime, Drama","Stars:, Timothy Olyphant, , Nick Searcy, , Joelle Carter, , Jacob Pitts","Enforcing his own brand of justice, US Marshal Raylan, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",8.6,44 min,TV-MA,105686,
1883,tt13991232,2021–2022,"Drama, Western","Stars:, Sam Elliott, , Tim McGraw, , Faith Hill, , Isabel May","The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what would eventually become the Yellowstone Ranch.",8.7,60 min,TV-MA,94206,
Strange Way of Life,tt13055264,2023,"Short, Drama, Western","Director:, Pedro Almodóvar, | ,     Stars:, Pedro Pascal, , Ethan Hawke, , José Condessa, , Manu Ríos","After twenty-five years Silva rides a horse across the desert to visit his friend Sheriff Jake. They celebrate the meeting, but the next morning Jake tells him that reason for his trip is not to go down the memory lane of their friendship.",6.9,31 min,R,425,
Tombstone,tt0108358,1993,"Biography, Drama, History","Directors:, George P. Cosmatos, , Kevin Jarre, | ,     Stars:, Kurt Russell, , Val Kilmer, , Sam Elliott, , Bill Paxton","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",7.8,130 min,R,156161,"56,505,065"
The Old Way,tt8593824,2023,"Action, Drama, Western","Director:, Brett Donowho, | ,     Stars:, Phillip Aguirre, , Ryan Kiera Armstrong, , Clint Howard, , Katelyn Bauer","An old gunslinger and his daughter must face the consequences of his past, when the son of a man he murdered years ago arrives to take his revenge.",5.4,95 min,R,5295,
Django Unchained,tt1853728,2012,"Drama, Western","Director:, Quentin Tarantino, | ,     Stars:, Jamie Foxx, , Christoph Waltz, , Leonardo DiCaprio, , Kerry Washington","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",8.4,165 min,R,1601116,"162,805,434"
Gunsmoke,tt0047736,1955–1975,Western,"Stars:, James Arness, , Milburn Stone, , Amanda Blake, , Ken Curtis",Marshal Matt Dillon keeps the peace in rough-and-tumble Dodge City.,8.1,60 min,TV-PG,7955,
