x,y,category,POI_count
1,1,79,2
1,1,84,1
1,2,82,1
1,3,54,1
1,3,74,1
1,6,58,1
1,6,74,1
1,7,61,2
1,7,73,1
1,7,56,1
1,8,60,1
1,8,74,1
1,10,74,2
1,10,80,1
1,10,60,1
1,12,74,2
1,13,74,1
1,16,38,1
1,16,74,1
1,17,69,1
1,17,41,1
1,17,48,1
1,18,48,1
1,18,70,1
1,21,46,1
1,22,81,1
1,22,79,1
1,25,74,1
1,26,41,1
1,27,63,1
1,27,76,1
1,28,82,1
1,29,60,2
1,29,74,1
1,30,74,2
1,30,3,1
1,30,80,1
1,31,82,1
1,31,56,1
1,31,74,1
1,32,61,2
1,33,74,1
1,33,60,1
1,35,81,1
1,35,18,1
1,36,73,1
1,36,74,1
1,40,48,1
1,41,48,2
1,42,48,3
1,42,82,2
1,42,69,1
1,42,54,1
1,42,79,1
1,43,56,1
1,43,47,1
1,43,74,1
1,53,74,1
1,54,48,1
1,54,74,1
1,54,73,1
1,67,74,1
1,68,48,1
1,68,74,1
1,129,74,1
1,155,43,3
1,155,14,2
1,155,4,2
1,155,73,1
1,155,21,1
1,155,41,1
1,155,18,1
1,155,49,1
1,156,74,2
1,156,80,1
1,156,48,1
1,159,60,1
1,160,73,1
1,160,74,1
1,161,74,1
1,162,76,1
1,163,74,1
1,170,74,1
1,185,81,2
1,185,47,1
1,188,81,4
1,188,79,2
1,188,60,1
1,188,74,1
1,188,57,1
1,188,73,1
1,188,69,1
1,188,62,1
1,189,81,2
1,189,74,1
1,189,73,1
1,190,60,1
1,192,79,1
1,199,74,1
1,200,73,1
2,1,47,2
2,1,74,2
2,1,79,1
2,1,18,1
2,1,58,1
2,2,61,2
2,2,82,2
2,2,74,1
2,2,56,1
2,2,62,1
2,2,73,1
2,16,48,1
2,26,79,1
2,29,60,2
2,29,74,1
2,29,79,1
2,33,79,1
2,35,54,4
2,35,40,1
2,36,54,1
2,42,48,1
2,43,48,1
2,43,41,1
2,43,18,1
2,129,74,1
2,157,85,1
2,157,36,1
2,157,80,1
2,158,10,1
2,159,81,1
2,160,60,2
2,160,45,1
2,160,81,1
2,160,74,1
2,160,84,1
2,160,18,1
2,160,54,1
2,161,61,2
2,161,73,2
2,161,58,1
2,161,69,1
2,161,76,1
2,161,56,1
2,161,41,1
2,162,74,2
2,162,73,1
2,167,74,1
2,168,80,1
2,171,74,2
2,171,73,1
2,175,80,1
2,180,74,1
2,181,73,1
2,181,74,1
2,185,73,1
2,187,63,1
2,188,74,1
2,188,73,1
2,189,54,2
2,189,81,1
2,189,55,1
2,190,60,1
2,191,74,2
2,191,65,1
2,191,81,1
2,199,81,1
2,200,73,1
2,200,54,1
3,1,18,2
3,1,21,2
3,1,49,1
3,1,68,1
3,1,81,1
3,2,14,1
3,2,84,1
3,3,74,1
3,3,47,1
3,3,81,1
3,5,76,1
3,11,54,3
3,12,74,1
3,12,20,1
3,13,73,2
3,13,79,1
3,14,74,1
3,16,48,1
3,28,14,1
3,29,43,1
3,31,74,2
3,31,58,1
3,31,48,1
3,32,76,1
3,33,73,2
3,33,45,1
3,33,66,1
3,33,6,1
3,33,74,1
3,33,72,1
3,33,2,1
3,33,36,1
3,33,79,1
3,33,62,1
3,34,74,3
3,34,45,1
3,40,46,1
3,43,18,1
3,43,53,1
3,44,74,1
3,44,48,1
3,161,41,2
3,161,76,2
3,161,63,2
3,161,69,2
3,161,66,2
3,161,48,1
3,161,20,1
3,161,73,1
3,162,74,2
3,162,73,1
3,162,60,1
3,165,5,1
3,165,43,1
3,167,47,1
3,167,73,1
3,176,73,1
3,177,74,1
3,184,74,1
3,187,60,1
3,187,73,1
3,188,81,1
3,188,73,1
3,188,62,1
3,188,69,1
3,188,18,1
3,188,9,1
3,189,74,2
3,189,81,1
3,189,60,1
3,189,73,1
3,194,81,1
3,196,74,3
3,196,4,1
3,199,74,2
3,200,63,1
3,200,47,1
3,200,54,1
3,200,76,1
4,1,84,2
