x,y,category,POI_count
1,35,48,1
1,38,48,1
1,45,48,1
1,45,47,1
1,108,46,1
1,128,74,1
1,128,45,1
1,133,65,1
1,134,65,1
1,139,81,1
1,140,43,1
1,143,75,1
1,143,79,1
1,143,41,1
1,145,75,1
1,148,60,2
1,148,54,1
1,148,48,1
1,148,75,1
1,148,63,1
1,150,73,1
1,150,47,1
1,151,51,4
1,151,18,3
1,151,48,3
1,151,47,3
1,151,57,2
1,151,79,2
1,151,36,2
1,151,54,2
1,151,73,2
1,151,5,2
1,151,59,2
1,151,56,1
1,151,10,1
1,151,3,1
1,151,58,1
1,151,81,1
1,151,38,1
1,151,21,1
1,151,66,1
1,151,69,1
1,151,26,1
1,151,46,1
1,152,47,6
1,152,48,4
1,152,59,3
1,152,66,2
1,152,61,2
1,152,55,2
1,152,53,1
1,152,43,1
1,152,39,1
1,152,51,1
1,152,63,1
1,152,33,1
1,152,60,1
1,152,36,1
1,152,76,1
1,153,67,1
1,153,55,1
1,153,48,1
1,153,47,1
1,153,43,1
1,154,60,1
1,154,48,1
1,155,43,1
1,155,10,1
1,159,73,1
1,168,47,1
1,169,48,1
1,170,80,1
1,170,41,1
1,170,60,1
1,171,76,2
1,171,84,1
1,171,60,1
1,171,48,1
1,173,65,1
1,174,75,1
1,175,75,1
1,178,20,1
1,178,55,1
1,178,84,1
1,179,43,1
1,183,79,2
1,183,69,1
1,183,9,1
1,183,81,1
1,183,74,1
1,183,63,1
1,183,82,1
1,183,73,1
1,183,48,1
1,183,40,1
1,183,60,1
1,184,51,3
1,184,54,2
1,184,73,2
1,184,63,2
1,184,74,1
1,184,82,1
1,184,56,1
1,184,36,1
1,184,76,1
1,184,9,1
1,184,84,1
1,184,81,1
1,184,69,1
1,184,48,1
1,184,18,1
1,184,47,1
1,184,66,1
1,185,63,2
1,186,84,1
1,189,75,1
1,196,63,1
2,23,48,1
2,35,48,1
2,38,48,1
2,47,48,2
2,47,47,1
2,114,48,1
2,114,3,1
2,114,31,1
2,127,45,4
2,127,1,1
2,130,31,2
2,130,45,1
2,134,60,1
2,134,67,1
2,135,76,2
2,143,79,1
2,145,18,2
2,145,47,2
2,145,31,1
2,147,48,1
2,148,80,1
2,148,48,1
2,148,75,1
2,148,81,1
2,148,38,1
2,152,47,6
2,152,59,5
2,152,48,3
2,152,60,2
2,152,79,2
2,152,81,2
2,152,54,2
2,152,76,2
2,152,85,1
2,152,56,1
2,152,7,1
2,152,36,1
2,152,55,1
2,152,67,1
2,152,1,1
2,152,69,1
2,152,73,1
2,152,18,1
2,152,51,1
2,152,58,1
2,152,5,1
2,152,66,1
2,153,47,2
2,153,81,1
2,153,66,1
2,153,54,1
2,153,56,1
2,154,20,1
2,172,21,2
2,172,65,2
2,172,4,1
2,172,38,1
2,172,18,1
2,172,48,1
2,172,63,1
2,172,70,1
2,172,66,1
2,173,47,1
2,175,60,1
2,176,75,1
2,176,60,1
2,180,79,1
2,181,81,2
2,181,79,1
2,181,76,1
2,181,41,1
2,182,5,2
2,182,74,1
2,182,60,1
2,182,43,1
2,182,66,1
2,182,36,1
2,183,60,3
2,183,48,3
2,183,58,2
2,183,61,2
2,183,53,1
2,183,51,1
2,183,62,1
2,183,69,1
2,183,63,1
2,183,47,1
2,183,45,1
2,183,85,1
2,183,84,1
2,183,56,1
2,183,54,1
2,183,21,1
2,184,54,1
2,184,56,1
2,184,48,1
2,185,20,1
2,185,75,1
2,185,48,1
2,186,60,1
2,186,48,1
2,186,84,1
2,187,63,1
2,187,81,1
2,187,60,1
2,187,18,1
2,188,81,1
3,1,74,1
3,35,48,1
3,38,48,1
3,113,41,1
3,113,48,1
3,113,80,1
3,113,47,1
3,127,81,1
3,129,76,1
3,129,18,1
3,129,47,1
3,130,48,1
3,130,81,1
3,130,47,1
3,130,63,1
3,136,65,1
3,137,48,2
3,138,43,3
3,138,74,1
3,138,47,1
3,139,43,2
3,139,67,1
3,140,82,1
3,141,60,3
3,141,48,2
3,141,66,1
3,141,47,1
3,141,79,1
3,141,62,1
3,141,69,1
3,142,79,1
3,143,48,3
3,143,79,1
3,143,47,1
3,143,76,1
3,143,57,1
3,143,41,1
3,143,60,1
3,144,4,2
3,144,58,2
3,144,60,1
3,144,47,1
3,144,59,1
3,144,54,1
3,145,48,3
3,145,47,1
3,147,60,3
3,147,79,2
3,147,48,1
3,147,41,1
3,147,54,1
3,148,76,1
3,148,81,1
3,150,54,4
3,150,58,2
3,150,63,1
3,150,79,1
3,150,74,1
3,150,82,1
3,150,76,1
