x,y,category,POI_count
1,11,46,1
1,55,60,2
1,55,48,1
1,56,68,1
1,56,75,1
1,56,41,1
1,56,14,1
1,56,82,1
1,56,3,1
1,57,69,3
1,57,41,3
1,57,58,2
1,57,81,2
1,57,61,2
1,57,76,1
1,57,74,1
1,57,54,1
1,58,69,3
1,58,74,2
1,58,41,2
1,58,79,1
1,58,62,1
1,58,73,1
1,59,82,10
1,59,54,6
1,59,81,5
1,59,76,5
1,59,66,4
1,59,79,4
1,59,38,3
1,59,73,3
1,59,62,3
1,59,63,3
1,59,48,2
1,59,69,2
1,59,70,2
1,59,33,2
1,59,51,2
1,59,57,2
1,59,5,2
1,59,4,2
1,59,18,1
1,59,11,1
1,59,58,1
1,59,46,1
1,59,35,1
1,59,39,1
1,59,47,1
1,59,34,1
1,59,80,1
1,59,41,1
1,59,60,1
1,59,50,1
1,59,45,1
1,59,36,1
1,59,72,1
1,59,40,1
1,59,13,1
1,59,9,1
1,59,32,1
1,60,81,5
1,60,62,3
1,60,69,3
1,60,54,3
1,60,60,3
1,60,48,3
1,60,41,3
1,60,51,3
1,60,4,3
1,60,75,2
1,60,74,2
1,60,63,2
1,60,34,2
1,60,13,2
1,60,55,2
1,60,5,2
1,60,53,2
1,60,23,1
1,60,47,1
1,60,38,1
1,60,73,1
1,60,82,1
1,60,40,1
1,60,76,1
1,60,56,1
1,60,45,1
1,60,66,1
1,60,67,1
1,60,79,1
1,60,83,1
1,60,65,1
1,60,39,1
1,60,84,1
1,60,59,1
1,60,17,1
1,60,78,1
1,61,74,3
1,61,23,2
1,61,47,1
1,61,43,1
1,61,73,1
1,61,53,1
1,61,81,1
1,61,62,1
1,61,69,1
1,62,82,7
1,62,74,5
1,62,69,5
1,62,62,3
1,62,66,3
1,62,41,3
1,62,79,3
1,62,38,3
1,62,61,2
1,62,53,2
1,62,80,2
1,62,58,2
1,62,81,2
1,62,51,2
1,62,35,2
1,62,39,2
1,62,78,1
1,62,14,1
1,62,40,1
1,62,56,1
1,62,75,1
1,62,5,1
1,62,33,1
1,62,47,1
1,62,3,1
1,62,57,1
1,62,83,1
1,62,49,1
1,62,21,1
1,62,31,1
1,62,45,1
1,63,47,2
1,63,62,2
1,63,54,2
1,63,79,1
1,63,81,1
1,63,74,1
1,63,53,1
1,63,60,1
1,64,74,3
1,64,62,1
1,64,41,1
1,64,69,1
1,64,40,1
1,65,60,1
1,65,76,1
1,74,74,1
1,75,41,1
1,76,4,1
1,76,82,1
1,76,81,1
1,81,48,1
1,81,74,1
1,81,79,1
1,81,41,1
1,82,48,1
1,82,74,1
1,109,74,1
1,129,48,1
1,129,56,1
1,130,48,1
1,130,58,1
1,135,74,1
1,143,39,1
1,149,80,1
1,151,43,1
1,152,79,1
1,157,47,2
1,157,79,1
1,158,69,3
1,158,81,2
1,158,61,2
1,158,74,2
1,158,41,2
1,158,76,1
1,158,60,1
1,158,73,1
1,158,48,1
1,158,45,1
1,158,62,1
1,158,63,1
1,158,7,1
1,158,18,1
1,159,48,2
1,159,82,1
1,159,63,1
1,159,74,1
1,160,74,1
1,160,48,1
1,160,82,1
1,161,74,1
2,55,41,2
2,55,46,1
2,56,41,1
2,58,76,1
2,60,74,3
2,60,63,3
2,60,4,2
2,60,62,2
2,60,75,2
2,60,48,2
2,60,57,1
2,60,81,1
2,60,60,1
2,60,76,1
2,60,83,1
