Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Spider-Man: Across the Spider-Verse,tt9362722,2023,"Animation, Action, Adventure","Directors:, Joaquim Dos Santos, , Kemp Powers, , Justin K. Thompson, | ,     Stars:, Shameik Moore, , Hailee Steinfeld, , Brian Tyree Henry, , Luna Lauren Velez","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",9.1,140 min,PG,71960,
FUBAR,tt13064902,2023– ,"Action, Adventure, Thriller","Stars:, Arnold Schwarzenegger, , Monica Barbaro, , Milan Carter, , Gabriel Luna",A C.I.A. operative on the edge of retirement discovers a family secret and is called back into the field for one last job.,6.5,,TV-MA,15422,
Barry,tt5348176,2018–2023,"Action, Comedy, Crime","Stars:, Bill Hader, , Stephen Root, , Sarah Goldberg, , Anthony Carrigan",A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,8.4,30 min,TV-MA,101883,
John Wick: Chapter 4,tt10366206,2023,"Action, Crime, Thriller","Director:, Chad Stahelski, | ,     Stars:, Keanu Reeves, , Laurence Fishburne, , George Georgiou, , Lance Reddick","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",8.0,169 min,R,195078,
Fast X,tt5433140,2023,"Action, Adventure, Crime","Director:, Louis Leterrier, | ,     Stars:, Vin Diesel, , Michelle Rodriguez, , Jason Statham, , Jordana Brewster",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,6.3,141 min,PG-13,39326,
Guardians of the Galaxy Vol. 3,tt6791350,2023,"Action, Adventure, Comedy","Director:, James Gunn, | ,     Stars:, Chris Pratt, , Chukwudi Iwuji, , Bradley Cooper, , Pom Klementieff","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",8.2,150 min,PG-13,160447,
Dungeons & Dragons: Honor Among Thieves,tt2906216,2023,"Action, Adventure, Comedy","Directors:, John Francis Daley, , Jonathan Goldstein, | ,     Stars:, Chris Pine, , Michelle Rodriguez, , Regé-Jean Page, , Justice Smith","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",7.3,134 min,PG-13,123247,
Citadel,tt9794044,2023– ,"Action, Drama, Thriller","Stars:, Richard Madden, , Priyanka Chopra Jonas, , Stanley Tucci, , Ashleigh Cummings","Global spy agency Citadel has fallen, and its agents' memories were wiped clean. Now the powerful syndicate, Manticore, is rising in the void. Can the Citadel agents recollect their past and summon the strength to fight back?",6.1,,TV-14,20897,
The Machine,tt11040844,I) (2023,"Action, Comedy","Director:, Peter Atencio, | ,     Stars:, Bert Kreischer, , Mark Hamill, , Jimmy Tatro, , Iva Babic",Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.,6.6,112 min,R,3193,
Hypnotic,tt8080204,2023,"Action, Mystery, Thriller","Director:, Robert Rodriguez, | ,     Stars:, Ben Affleck, , Alice Braga, , JD Pardo, , Dayo Okeniyi",A detective investigates a mystery involving his missing daughter and a secret government program.,5.4,93 min,R,8720,
Blood & Gold,tt18073328,2023,"Action, Drama, War","Director:, Peter Thorwarth, | ,     Stars:, Robert Maaser, , Marie Hacke, , Jördis Triebel, , Alexander Scheer","At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.",6.5,98 min,TV-MA,7071,
Spider-Man: Into the Spider-Verse,tt4633694,2018,"Animation, Action, Adventure","Directors:, Bob Persichetti, , Peter Ramsey, , Rodney Rothman, | ,     Stars:, Shameik Moore, , Jake Johnson, , Hailee Steinfeld, , Mahershala Ali",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,8.4,117 min,PG,575321,"190,241,310"
Game of Thrones,tt0944947,2011–2019,"Action, Adventure, Drama","Stars:, Emilia Clarke, , Peter Dinklage, , Kit Harington, , Lena Headey","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",9.2,57 min,TV-MA,2166804,
Shazam! Fury of the Gods,tt10151854,2023,"Action, Adventure, Comedy","Director:, David F. Sandberg, | ,     Stars:, Zachary Levi, , Asher Angel, , Jack Dylan Grazer, , Rachel Zegler","The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.",6.0,130 min,PG-13,82520,
Ant-Man and the Wasp: Quantumania,tt10954600,2023,"Action, Adventure, Comedy","Director:, Peyton Reed, | ,     Stars:, Paul Rudd, , Evangeline Lilly, , Michael Douglas, , Michelle Pfeiffer","Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?",6.2,124 min,PG-13,168531,
The Covenant,tt4873118,2023,"Action, Thriller, War","Director:, Guy Ritchie, | ,     Stars:, Jake Gyllenhaal, , Dar Salim, , Sean Sagar, , Jason Wong","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",7.5,123 min,R,47074,
Sisu,tt14846026,2022,"Action, War","Director:, Jalmari Helander, | ,     Stars:, Jorma Tommila, , Aksel Hennie, , Jack Doolan, , Mimosa Willamo","When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.",7.0,91 min,R,31568,
American Born Chinese,tt15552018,2023– ,"Action, Adventure, Comedy","Stars:, Ben Wang, , Yann Yann Yeo, , Chin Han, , Jimmy Liu","Jin Wang is an average teenager balancing high school and home life. When he meets a new foreign student on the first day of the school, even more worlds collide as Jin is unwittingly entangled in a battle with Chinese mythological gods.",7.2,30 min,TV-PG,2885,
The Flash,tt3107288,2014–2023,"Action, Adventure, Drama","Stars:, Grant Gustin, , Candice Patton, , Danielle Panabaker, , Carlos Valdes","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.",7.5,43 min,TV-PG,357769,
The Rookie,tt7587890,2018– ,"Action, Crime, Drama","Stars:, Nathan Fillion, , Alyssa Diaz, , Richard T. Jones, , Melissa O'Neil","Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",8.0,43 min,TV-14,50663,
Transformers: Rise of the Beasts,tt5090568,2023,"Action, Adventure, Sci-Fi","Director:, Steven Caple Jr., | ,     Stars:, Anthony Ramos, , Dominique Fishback, , Luna Lauren Velez, , Dean Scott Vazquez","During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.",6.6,127 min,PG-13,878,
The Mother,tt6968614,2023,"Action, Thriller","Director:, Niki Caro, | ,     Stars:, Jennifer Lopez, , Lucy Paez, , Omari Hardwick, , Joseph Fiennes","While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.",5.6,115 min,R,32434,
The Last of Us,tt3581920,2023– ,"Action, Adventure, Drama","Stars:, Pedro Pascal, , Bella Ramsey, , Anna Torv, , Lamar Johnson","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",8.8,50 min,TV-MA,417818,
The Night Agent,tt13918776,2023– ,"Action, Drama, Thriller","Stars:, Gabriel Basso, , Luciane Buchanan, , Fola Evans-Akingbola, , Sarah Desjardins","Low-level FBI agent Peter Sutherland works in the basement of the White House manning a phone that never rings - until the night it does, propelling him into a conspiracy that leads all the way to the Oval Office.",7.5,45 min,TV-MA,78865,
