Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Love & Death,tt14586350,2023,"Biography, Crime, Drama","Stars:, Elizabeth Olsen, , Jesse Plemons, , Lily Rabe, , Patrick Fugit",Two churchgoing couples enjoy small town family life in Texas - until somebody picks up an axe.,7.6,378 min,TV-MA,17095,
White House Plumbers,tt11468254,2023,"Biography, Drama, History","Stars:, Woody Harrelson, , Justin Theroux, , Lena Headey, , Domhnall Gleeson","A five-part series that tells the true story of how Nixon's own political saboteurs and Watergate masterminds, E. Howard Hunt and G. Gordon Liddy, accidentally toppled the presidency they were trying to protect.",6.8,,TV-MA,4701,
The Great,tt2235759,2020– ,"Biography, Comedy, Drama","Stars:, Elle Fanning, , Phoebe Fox, , Gwilym Lee, , Adam Godley","A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor.",8.2,45 min,TV-MA,47663,
A Small Light,tt17921714,2023,"Biography, Drama, History","Stars:, Bel Powley, , Joe Cole, , Amira Casar, , Billie Boullet","Follows the remarkable story of Miep Gies, a Dutch woman who risked her life to shelter Anne Frank's family from the Nazis for more than two years during World War II.",8.4,,TV-14,4407,
BlackBerry,tt21867434,2023,"Biography, Comedy, Drama","Director:, Matt Johnson, | ,     Stars:, Jay Baruchel, , Glenn Howerton, , Matt Johnson, , Kelly Van der Burg",The story of the meteoric rise and catastrophic demise of the world's first smartphone.,7.6,120 min,R,5930,
Goodfellas,tt0099685,1990,"Biography, Crime, Drama","Director:, Martin Scorsese, | ,     Stars:, Robert De Niro, , Ray Liotta, , Joe Pesci, , Lorraine Bracco","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",8.7,145 min,R,1192930,"46,836,394"
The Crown,tt4786824,2016–2023,"Biography, Drama, History","Stars:, Claire Foy, , Olivia Colman, , Imelda Staunton, , Matt Smith",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,8.6,58 min,TV-MA,230547,
Candy,tt13729648,2022,"Biography, Crime, Drama","Stars:, Jessica Biel, , Melanie Lynskey, , Pablo Schreiber, , Timothy Simons","Candy Montgomery is a 1980s housewife and mother who did everything right. When the pressure of conformity builds within, her actions scream for just a bit of freedom -- until someone tells her to shush -- with deadly results.",7.2,257 min,TV-MA,20327,
The Wolf of Wall Street,tt0993846,2013,"Biography, Comedy, Crime","Director:, Martin Scorsese, | ,     Stars:, Leonardo DiCaprio, , Jonah Hill, , Margot Robbie, , Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,180 min,R,1465095,"116,900,694"
Shooting Stars,tt3715152,2023,"Biography, Drama, History","Director:, Chris Robinson, | ,     Stars:, Marquis Mookie Cook, , Wood Harris, , Caleb McLaughlin, , Avery Serell Wills Jr.",A look at the young life of basketball star LeBron James. Feature film adaptation of LeBron James and Buzz Bissinger's book 'Shooting Stars'.,6.5,,PG-13,505,
What's Love Got to Do with It,tt0108551,1993,"Biography, Drama, Music","Director:, Brian Gibson, | ,     Stars:, Angela Bassett, , Laurence Fishburne, , RaéVen Kelly, , Virginia Capers","The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",7.3,118 min,R,23231,"39,100,956"
Jeanne du Barry,tt17277414,2023,"Biography, Drama, History","Director:, Maïwenn, | ,     Stars:, Maïwenn, , Johnny Depp, , Benjamin Lavernhe, , Melvil Poupaud",The life of Jeanne Bécu who was born as the illegitimate daughter of an impoverished seamstress in 1743 and went on to rise through the Court of Louis XV to become his last official mistress.,6.7,113 min,,1631,
Black Bird,tt4301160,2022,"Biography, Crime, Drama","Stars:, Taron Egerton, , Paul Walter Hauser, , Greg Kinnear, , Ray Liotta",Jimmy Keene is sentenced to 10 years in a minimum security prison but he cuts a deal with the FBI to befriend a suspected serial killer. Keene has to elicit a confession from Larry Hall to find the bodies of as many as eighteen women.,8.1,347 min,TV-MA,80106,
Hacksaw Ridge,tt2119532,2016,"Biography, Drama, History","Director:, Mel Gibson, | ,     Stars:, Andrew Garfield, , Sam Worthington, , Luke Bracey, , Teresa Palmer","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1,139 min,R,550582,"67,209,615"
Tetris,tt12758060,2023,"Biography, Drama, History","Director:, Jon S. Baird, | ,     Stars:, Taron Egerton, , Mara Huf, , Miles Barrow, , Rick Yune","The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses.",7.4,118 min,R,52219,
Narcos,tt2707408,2015–2017,"Biography, Crime, Drama","Stars:, Pedro Pascal, , Wagner Moura, , Boyd Holbrook, , Alberto Ammann","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",8.8,49 min,TV-MA,442895,
Scoop,tt22297178,2023– ,"Biography, Crime, Drama","Stars:, Karishma Tanna, , Harman Baweja, , Mohd. Zeeshan Ayyub, , Inayat Sood",A journalist's life takes a 360 because of the very system that made her who she is. Will she fight or will she concede?,7.7,60 min,TV-MA,1095,
Tombstone,tt0108358,1993,"Biography, Drama, History","Directors:, George P. Cosmatos, , Kevin Jarre, | ,     Stars:, Kurt Russell, , Val Kilmer, , Sam Elliott, , Bill Paxton","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",7.8,130 min,R,156159,"56,505,065"
Still: A Michael J. Fox Movie,tt19853258,2023,"Documentary, Biography","Director:, Davis Guggenheim, | ,     Stars:, Tracy Pollan, , Sam Fox, , Aquinnah Fox, , Schuyler Fox","Follows the life of beloved actor and advocate Michael J. Fox, exploring his personal and professional triumphs and travails, and what happens when an incurable optimist confronts an incurable disease.",8.2,95 min,R,7182,
Schindler's List,tt0108052,1993,"Biography, Drama, History","Director:, Steven Spielberg, | ,     Stars:, Liam Neeson, , Ralph Fiennes, , Ben Kingsley, , Caroline Goodall","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9.0,195 min,R,1386314,"96,898,818"
Spartacus,tt1442449,2010–2013,"Action, Adventure, Biography","Stars:, Andy Whitfield, , Lucy Lawless, , Manu Bennett, , Daniel Feuerriegel","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",8.5,55 min,TV-MA,247906,
Sound of Freedom,tt7599146,2022,"Action, Biography, Drama","Director:, Alejandro Monteverde, | ,     Stars:, Jim Caviezel, , Mira Sorvino, , Kurt Fuller, , Bill Camp",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.,8.4,135 min,PG-13,547,
Padre Pio,tt18272884,II) (2022,"Biography, Drama","Director:, Abel Ferrara, | ,     Stars:, Shia LaBeouf, , Cristina Chiriac, , Marco Leonardi, , Salvatore Ruocco","WWI has ended but events surrounding the first free election in Italy threaten to tear the village apart. Padre Pio struggles with his own personal demons, ultimately emerging to become one of Catholicism's most venerated figures.",5.1,104 min,R,509,
The Offer,tt13111040,2022,"Biography, Drama","Stars:, Miles Teller, , Matthew Goode, , Dan Fogler, , Burn Gorman",Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,8.7,586 min,TV-MA,32949,
The Irishman,tt1302006,2019,"Biography, Crime, Drama","Director:, Martin Scorsese, | ,     Stars:, Robert De Niro, , Al Pacino, , Joe Pesci, , Harvey Keitel","An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.",7.8,209 min,R,404357,"7,000,000"
Big George Foreman,tt12226632,2023,"Biography, Drama, Sport","Director:, George Tillman Jr., | ,     Stars:, Khris Davis, , Jasmine Mathews, , Sullivan Jones, , Lawrence Gilliard Jr.",The life and boxing career of George Foreman.,6.5,129 min,PG-13,2505,
Ford v Ferrari,tt1950186,2019,"Action, Biography, Drama","Director:, James Mangold, | ,     Stars:, Matt Damon, , Christian Bale, , Jon Bernthal, , Caitríona Balfe",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,8.1,152 min,PG-13,419812,"117,624,028"
Spinning Gold,tt2071590,2023,"Biography, Drama, Music","Director:, Timothy Scott Bogart, | ,     Stars:, Jeremy Jordan, , Michelle Monaghan, , Jay Pharoah, , Lyndsy Fonseca","A biopic of 1970s record producer Neil Bogart, co-founder of Casablanca Records.",6.2,137 min,R,678,
Elvis,tt3704428,2022,"Biography, Drama, Music","Director:, Baz Luhrmann, | ,     Stars:, Tom Hanks, , Austin Butler, , Olivia DeJonge, , Helen Thomson","The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",7.3,159 min,PG-13,208952,"151,040,048"
Catch Me If You Can,tt0264464,2002,"Biography, Crime, Drama","Director:, Steven Spielberg, | ,     Stars:, Leonardo DiCaprio, , Tom Hanks, , Christopher Walken, , Martin Sheen","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1,141 min,PG-13,1022641,"164,615,351"
Mrs. Chatterjee vs. Norway,tt14295590,2023,"Biography, Drama","Director:, Ashima Chibber, | ,     Stars:, Rani Mukerji, , Jim Sarbh, , Bodhisattwa Majumdar, , Saswati Guhathakurta",An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.,7.3,133 min,TV-MA,6518,
