Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Succession,tt7660850,2018–2023,"Comedy, Drama","Stars:, Sarah Snook, , Nicholas Braun, , Brian Cox, , Kieran Culkin","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",8.9,60 min,TV-MA,203682,
Ted Lasso,tt10986410,2020–2023,"Comedy, Drama, Sport","Stars:, Jason Sudeikis, , Brett Goldstein, , Brendan Hunt, , Nick Mohammed","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",8.8,30 min,TV-MA,274806,
Barry,tt5348176,2018–2023,"Action, Comedy, Crime","Stars:, Bill Hader, , Stephen Root, , Sarah Goldberg, , Anthony Carrigan",A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,8.4,30 min,TV-MA,101883,
Guardians of the Galaxy Vol. 3,tt6791350,2023,"Action, Adventure, Comedy","Director:, James Gunn, | ,     Stars:, Chris Pratt, , Chukwudi Iwuji, , Bradley Cooper, , Pom Klementieff","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",8.2,150 min,PG-13,160447,
Dungeons & Dragons: Honor Among Thieves,tt2906216,2023,"Action, Adventure, Comedy","Directors:, John Francis Daley, , Jonathan Goldstein, | ,     Stars:, Chris Pine, , Michelle Rodriguez, , Regé-Jean Page, , Justice Smith","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",7.3,134 min,PG-13,123247,
The Super Mario Bros. Movie,tt6718170,2023,"Animation, Adventure, Comedy","Directors:, Aaron Horvath, , Michael Jelenic, , Pierre Leduc, , Fabien Polack, | ,     Stars:, Chris Pratt, , Anya Taylor-Joy, , Charlie Day, , Jack Black","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.",7.2,92 min,PG,134835,
The Marvelous Mrs. Maisel,tt5788792,2017–2023,"Comedy, Drama","Stars:, Rachel Brosnahan, , Alex Borstein, , Michael Zegen, , Marin Hinkle","After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",8.7,57 min,TV-MA,128557,
The Machine,tt11040844,I) (2023,"Action, Comedy","Director:, Peter Atencio, | ,     Stars:, Bert Kreischer, , Mark Hamill, , Jimmy Tatro, , Iva Babic",Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.,6.6,112 min,R,3193,
Spider-Man: Into the Spider-Verse,tt4633694,2018,"Animation, Action, Adventure","Directors:, Bob Persichetti, , Peter Ramsey, , Rodney Rothman, | ,     Stars:, Shameik Moore, , Jake Johnson, , Hailee Steinfeld, , Mahershala Ali",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,8.4,117 min,PG,575321,"190,241,310"
Shazam! Fury of the Gods,tt10151854,2023,"Action, Adventure, Comedy","Director:, David F. Sandberg, | ,     Stars:, Zachary Levi, , Asher Angel, , Jack Dylan Grazer, , Rachel Zegler","The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.",6.0,130 min,PG-13,82520,
