Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Queen Cleopatra,tt27528139,2023,Documentary,"Stars:, Jada Pinkett Smith, , Adele James, , Craig Russell, , John Partridge","Netflix docudrama about Queen Cleopatra of Egypt of the Ptolemaic lineage from Macedonia, Greece, that ruled for 21 years, between the years 51 BC and 30 BC, ending with her suicide.",1.1,180 min,TV-14,77382,
The Curious Case of Natalia Grace,tt27896931,2023,Documentary,"Stars:, Dan Cody, , Caitlin McEachran, , Katrina Kemp",This docuseries offers extraordinary access and exclusive insight into a world-renowned mystery. Initially assumed to be a 6-year-old Ukrainian orphan with a rare bone growth disorder she was actually a fully grown adult.,7.1,,,356,
SmartLess: On the Road,tt15242936,2023– ,"Documentary, Comedy","Stars:, Will Arnett, , Jason Bateman, , Sean Hayes, , Will Ferrell","Follows the North American tour Jason Bateman, Sean Hayes and Will Arnett did for their Podcast project ""SmartLess"".",8.7,,TV-MA,680,
FDR,tt27052975,2023– ,Documentary,"Stars:, Jack Parham, , Adrian Galley, , Sean Cameron Michael, , Christian McKay","The three-part miniseries chronicles the life of Franklin D. Roosevelt, the thirty-second President of the United States.",7.8,,,146,
Still: A Michael J. Fox Movie,tt19853258,2023,"Documentary, Biography","Director:, Davis Guggenheim, | ,     Stars:, Tracy Pollan, , Sam Fox, , Aquinnah Fox, , Schuyler Fox","Follows the life of beloved actor and advocate Michael J. Fox, exploring his personal and professional triumphs and travails, and what happens when an incurable optimist confronts an incurable disease.",8.2,95 min,R,7182,
Bama Rush,tt21814814,2023,Documentary,"Director:, Rachel Fleit, | ,     Stars:, Shelby Rose, , Isabelle Eacrett, , Makalya Miller, , Gracie O'Connor",It centers on women as they rush the sorority system at the University of Alabama in 2022.,3.9,100 min,TV-MA,1182,
What Is a Woman?,tt20256528,2022,Documentary,"Director:, Justin Folk, | ,     Stars:, Matt Walsh, , Gert Comfrey, , Marci Bowers, , Don Sucher","Political commentator Matt Walsh explores the changing concepts of sex and gender in the digital age, particularly the transgender rights movement, anti-transgender bigotry, and what it means to be a woman.",8.3,95 min,,36210,
Shiny Happy People: Duggar Family Secrets,tt27715627,2023,Documentary,"Stars:, Derick Dillard, , Jill Duggar Dillard, , Brooke Arnold, , Kristin Kobes Du Mez","Docuseries exploring the truth beneath the surface of reality TV's mega-family, The Duggars.",7.9,,16+,864,
Prehistoric Planet,tt10324164,2022–2023,"Documentary, Animation, History","Star:, David Attenborough","Travel back 66 million years to when majestic dinosaurs and extraordinary creatures roamed the lands, seas, and skies.",8.5,203 min,TV-PG,9297,
Victim/Suspect,tt24079788,2023,"Documentary, Crime","Director:, Nancy Schwartzman, | ,     Stars:, Lisa Avalos, , Dyanie Bermeo, , Rachel de Leon, , Carlton Hershman","Young women tell the police they've been sexually assaulted, but instead of finding justice, they're charged with the crime of making a false report, arrested, and even imprisoned by the system they believed would protect them.",6.9,90 min,R,885,
The Secrets of Hillsong,tt27331314,2023,Documentary,"Stars:, Carl Lentz, , Josh Canfield, , Dan Adler, , Alex French",Exploring one of America's most successful megachurches and the investigative reporting that lead to the dismissal of two prominent pastors.,6.6,,,292,
How to Create a Sex Scandal,tt27739528,2023,"Documentary, Crime",,"Follows the story of a peaceful town in Mineola, Texas which was rocked in 2005 when neighborhood kids came forward with alarming information about a pedophile sex ring that operated out of a swingers club.",6.9,132 min,,241,
Planet Earth II,tt5491994,2016,Documentary,"Stars:, David Attenborough, , Chadden Hunter, , Gordon Buchanan, , Elizabeth White",David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,9.5,298 min,TV-G,150592,
The Last Dance,tt8420184,2020,"Documentary, Biography, History","Stars:, Michael Jordan, , Phil Jackson, , Scottie Pippen, , David Aldridge","Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",9.1,491 min,TV-MA,135226,
