Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
The Little Mermaid,tt5971474,I) (2023,"Adventure, Family, Fantasy","Director:, Rob Marshall, | ,     Stars:, Halle Bailey, , Jonah Hauer-King, , Melissa McCarthy, , Javier Bardem",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,7.2,135 min,PG,69638,
Spider-Man: Across the Spider-Verse,tt9362722,2023,"Animation, Action, Adventure","Directors:, Joaquim Dos Santos, , Kemp Powers, , Justin K. Thompson, | ,     Stars:, Shameik Moore, , Hailee Steinfeld, , Brian Tyree Henry, , Luna Lauren Velez","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",9.1,140 min,PG,71960,
The Super Mario Bros. Movie,tt6718170,2023,"Animation, Adventure, Comedy","Directors:, Aaron Horvath, , Michael Jelenic, , Pierre Leduc, , Fabien Polack, | ,     Stars:, Chris Pratt, , Anya Taylor-Joy, , Charlie Day, , Jack Black","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.",7.2,92 min,PG,134835,
Spider-Man: Into the Spider-Verse,tt4633694,2018,"Animation, Action, Adventure","Directors:, Bob Persichetti, , Peter Ramsey, , Rodney Rothman, | ,     Stars:, Shameik Moore, , Jake Johnson, , Hailee Steinfeld, , Mahershala Ali",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,8.4,117 min,PG,575321,"190,241,310"
The Little Mermaid,tt0097757,1989,"Animation, Adventure, Family","Directors:, Ron Clements, , John Musker, | ,     Stars:, Jodi Benson, , Samuel E. Wright, , Rene Auberjonois, , Christopher Daniel Barnes",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,7.6,83 min,G,276494,"111,543,479"
Elemental,tt15789038,2023,"Animation, Adventure, Comedy","Director:, Peter Sohn, | ,     Stars:, Leah Lewis, , Mamoudou Athie, , Ronnie Del Carmen, , Shila Ommi","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.",6.5,103 min,PG,73,
Peter Pan & Wendy,tt5635026,2023,"Action, Adventure, Comedy","Director:, David Lowery, | ,     Stars:, Alexander Molony, , Ever Anderson, , Jude Law, , Alyssa Wapanatâhk","Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.",4.4,106 min,PG,22790,
Harry Potter and the Sorcerer's Stone,tt0241527,2001,"Adventure, Family, Fantasy","Director:, Chris Columbus, | ,     Stars:, Daniel Radcliffe, , Rupert Grint, , Richard Harris, , Maggie Smith","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6,152 min,PG,810284,"317,575,550"
Heartland,tt1094229,II) (2007– ,"Drama, Family","Stars:, Amber Marshall, , Shaun Johnston, , Michelle Morgan, , Chris Potter","A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",8.5,45 min,TV-PG,18106,
Puss in Boots: The Last Wish,tt3915174,2022,"Animation, Adventure, Comedy","Directors:, Joel Crawford, , Januel Mercado, | ,     Stars:, Antonio Banderas, , Salma Hayek, , Harvey Guillén, , Florence Pugh","When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.",7.9,102 min,PG,131764,"168,464,485"
"Are You There God? It's Me, Margaret.",tt9185206,2023,"Comedy, Drama, Family","Director:, Kelly Fremon Craig, | ,     Stars:, Abby Ryder Fortson, , Rachel McAdams, , Kathy Bates, , Benny Safdie","When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.",7.8,106 min,PG-13,4388,
Asterix & Obelix: The Middle Kingdom,tt11210390,2023,"Adventure, Comedy, Family","Director:, Guillaume Canet, | ,     Stars:, Guillaume Canet, , Gilles Lellouche, , Vincent Cassel, , Jonathan Cohen","The only daughter of the Chinese emperor Han Xuandi, escapes from a strict prince and seeks help from the Gauls and the two brave warriors Asterix and Obelix.",5.0,112 min,,5287,
Avatar: The Last Airbender,tt0417299,2005–2008,"Animation, Action, Adventure","Stars:, Dee Bradley Baker, , Zach Tyler Eisen, , Mae Whitman, , Jack De Sena","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",9.3,23 min,TV-Y7-FV,332410,
Aladdin,tt6139732,2019,"Adventure, Comedy, Family","Director:, Guy Ritchie, | ,     Stars:, Will Smith, , Mena Massoud, , Naomi Scott, , Marwan Kenzari",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,6.9,128 min,PG,276500,"355,559,216"
Harry Potter and the Goblet of Fire,tt0330373,2005,"Adventure, Family, Fantasy","Director:, Mike Newell, | ,     Stars:, Daniel Radcliffe, , Emma Watson, , Rupert Grint, , Eric Sykes","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",7.7,157 min,PG-13,647570,"290,013,036"
The Lion King,tt6105098,2019,"Animation, Adventure, Drama","Director:, Jon Favreau, | ,     Stars:, Donald Glover, , Beyoncé, , Seth Rogen, , Chiwetel Ejiofor","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",6.8,118 min,PG,254535,"543,638,043"
Beauty and the Beast,tt2771200,I) (2017,"Adventure, Family, Fantasy","Director:, Bill Condon, | ,     Stars:, Emma Watson, , Dan Stevens, , Luke Evans, , Josh Gad","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",7.1,129 min,PG,319766,"504,014,165"
The Goonies,tt0089218,1985,"Adventure, Comedy, Family","Director:, Richard Donner, | ,     Stars:, Sean Astin, , Josh Brolin, , Jeff Cohen, , Corey Feldman",A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,7.7,114 min,PG,285200,"61,503,218"
Malcolm in the Middle,tt0212671,2000–2006,"Comedy, Family","Stars:, Frankie Muniz, , Bryan Cranston, , Justin Berfield, , Erik Per Sullivan","A gifted young teen tries to survive life with his dimwitted, dysfunctional family.",8.2,22 min,TV-PG,136031,
The Karate Kid,tt0087538,1984,"Action, Drama, Family","Director:, John G. Avildsen, | ,     Stars:, Ralph Macchio, , Pat Morita, , Elisabeth Shue, , Martin Kove",A martial arts master agrees to teach karate to a bullied teenager.,7.3,126 min,PG,233293,"90,815,558"
Cars,tt0317219,2006,"Animation, Adventure, Comedy","Directors:, John Lasseter, , Joe Ranft, | ,     Stars:, Owen Wilson, , Bonnie Hunt, , Paul Newman, , Larry the Cable Guy","On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",7.2,117 min,G,439586,"244,082,982"
Miraculous: Tales of Ladybug & Cat Noir,tt2580046,2015– ,"Animation, Action, Adventure","Stars:, Cristina Valenzuela, , Bryce Papenbrook, , Keith Silverstein, , Max Mittelman","Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",7.6,20 min,TV-Y7,13003,
Cinderella,tt1661199,I) (2015,"Adventure, Drama, Family","Director:, Kenneth Branagh, | ,     Stars:, Lily James, , Cate Blanchett, , Richard Madden, , Helena Bonham Carter","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",6.9,105 min,PG,182923,"201,151,353"
Little House on the Prairie,tt0071007,1974–1983,"Drama, Family, Romance","Stars:, Melissa Gilbert, , Michael Landon, , Karen Grassle, , Rachel Lindsay Greenbush",The life and adventures of the Ingalls family in the nineteenth century American Midwest.,7.5,60 min,TV-PG,24897,
Bluey,tt7678620,2018– ,"Animation, Family","Stars:, David McCormack, , Melanie Zanetti, , Ninthe van Schie, , Brad Elliott",The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,9.5,7 min,TV-Y,15855,
Harry Potter and the Prisoner of Azkaban,tt0304141,2004,"Adventure, Family, Fantasy","Director:, Alfonso Cuarón, | ,     Stars:, Daniel Radcliffe, , Emma Watson, , Rupert Grint, , Richard Griffiths","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",7.9,142 min,PG,656267,"249,358,727"
Star Wars: Rebels,tt2930604,2014–2018,"Animation, Action, Adventure","Stars:, Dave Filoni, , Taylor Gray, , Freddie Prinze Jr., , Vanessa Marshall",A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,8.0,22 min,TV-Y7-FV,49318,
Harry Potter and the Chamber of Secrets,tt0295297,2002,"Adventure, Family, Fantasy","Director:, Chris Columbus, | ,     Stars:, Daniel Radcliffe, , Rupert Grint, , Emma Watson, , Richard Harris",An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,7.4,161 min,PG,657248,"261,988,482"
The Princess Bride,tt0093779,1987,"Adventure, Comedy, Family","Director:, Rob Reiner, | ,     Stars:, Cary Elwes, , Mandy Patinkin, , Robin Wright, , Chris Sarandon","A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",8.0,98 min,PG,436310,"30,857,814"
Harry Potter and the Deathly Hallows: Part 2,tt1201607,2011,"Adventure, Family, Fantasy","Director:, David Yates, | ,     Stars:, Daniel Radcliffe, , Emma Watson, , Rupert Grint, , Michael Gambon","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",8.1,130 min,PG-13,901482,"381,011,219"
Where the Tracks End,tt21735972,2023,"Comedy, Drama, Family","Director:, Ernesto Contreras, | ,     Stars:, Adriana Barraza, , Fátima Molina, , Guillermo Villegas, , Blanca Guerra",Georgina is a teacher determined to make a difference in the lives of the children she educates in the classroom of a wagon school in rural Mexico.,7.2,95 min,TV-14,499,
"Lyle, Lyle, Crocodile",tt14668630,2022,"Animation, Adventure, Comedy","Directors:, Josh Gordon, , Will Speck, | ,     Stars:, Javier Bardem, , Winslow Fegley, , Shawn Mendes, , Constance Wu",Feature film based on the children's book about a crocodile that lives in New York City.,6.1,106 min,PG,11648,"46,888,441"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,2005,"Adventure, Family, Fantasy","Director:, Andrew Adamson, | ,     Stars:, Tilda Swinton, , Georgie Henley, , William Moseley, , Skandar Keynes",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,6.9,143 min,PG,410529,"291,709,845"
