Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Yellowjackets,tt11041332,2021– ,"Drama, Horror, Mystery","Stars:, Melanie Lynskey, , Tawny Cypress, , Sophie Nélisse, , Jasmin Savoy Brown",A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Canadian wilderness.,7.8,60 min,TV-MA,67190,
From,tt9813792,2022– ,"Drama, Horror, Mystery","Stars:, Scott McCord, , Harold Perrineau, , Catalina Sandino Moreno, , Eion Bailey","Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normalcy and seek a way out, they must also survive the threats of the surrounding forest.",7.7,52 min,TV-MA,36722,
The Boogeyman,tt3427252,I) (2023,"Horror, Mystery, Thriller","Director:, Rob Savage, | ,     Stars:, Sophie Thatcher, , Chris Messina, , Vivien Lyra Blair, , David Dastmalchian","Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late.",6.2,98 min,PG-13,4495,
The Walking Dead,tt1520211,2010–2022,"Drama, Horror, Thriller","Stars:, Andrew Lincoln, , Norman Reedus, , Melissa McBride, , Lauren Cohan",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,8.1,44 min,TV-MA,1029184,
Evil Dead Rise,tt13345606,2023,Horror,"Director:, Lee Cronin, | ,     Stars:, Mirabai Pease, , Richard Crouchley, , Anna-Maree Thomas, , Lily Sullivan","A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",6.7,96 min,R,75010,
The Last of Us,tt3581920,2023– ,"Action, Adventure, Drama","Stars:, Pedro Pascal, , Bella Ramsey, , Anna Torv, , Lamar Johnson","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",8.8,50 min,TV-MA,417818,
Stranger Things,tt4574334,2016–2024,"Drama, Fantasy, Horror","Stars:, Millie Bobby Brown, , Finn Wolfhard, , Winona Ryder, , David Harbour","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",8.7,51 min,TV-14,1245793,
Tin & Tina,tt7354440,2023,"Horror, Mystery, Thriller","Director:, Rubin Stein, | ,     Stars:, Milena Smit, , Jaime Lorente, , Carlos González Morollón, , Anastasia Russo","After a tragic abort, Lola and her husband Adolfo adopt Tin and Tina, two lovely brother and sister with an ultra-catholic education that makes them interpret Holy Bible verbatim.",4.7,119 min,,2821,
The Black Demon,tt10279472,2023,"Horror, Sci-Fi, Thriller","Director:, Adrian Grunberg, | ,     Stars:, Omar Chaparro, , Bolivar Sanchez, , Carlos Solórzano, , Josh Lucas","Stranded on a crumbling rig in Baja, a family faces off against a vengeful megalodon shark.",3.7,100 min,R,2008,
Supernatural,tt0460681,2005–2020,"Drama, Fantasy, Horror","Stars:, Jared Padalecki, , Jensen Ackles, , Jim Beaver, , Misha Collins","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",8.4,44 min,TV-14,459571,
X,tt13560574,II) (2022,"Horror, Mystery, Thriller","Director:, Ti West, | ,     Stars:, Mia Goth, , Jenna Ortega, , Brittany Snow, , Kid Cudi","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",6.6,105 min,R,131606,
Old,tt10954652,2021,"Drama, Horror, Mystery","Director:, M. Night Shyamalan, | ,     Stars:, Gael García Bernal, , Vicky Krieps, , Rufus Sewell, , Alex Wolff","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",5.8,108 min,PG-13,137453,"48,276,510"
Attack on Titan,tt2560140,2013–2023,"Animation, Action, Adventure","Stars:, Josh Grelle, , Bryce Papenbrook, , Yûki Kaji, , Yui Ishikawa","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9.1,24 min,TV-MA,413124,
Fear the Walking Dead,tt3743822,2015–2023,"Drama, Horror, Sci-Fi","Stars:, Kim Dickens, , Frank Dillane, , Cliff Curtis, , Rubén Blades","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",6.8,44 min,TV-MA,135235,
Scream VI,tt17663992,2023,"Horror, Mystery, Thriller","Directors:, Matt Bettinelli-Olpin, , Tyler Gillett, | ,     Stars:, Courteney Cox, , Melissa Barrera, , Jenna Ortega, , Jasmin Savoy Brown","In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.",6.6,122 min,R,79482,
Influencer,tt13309170,II) (2022,"Horror, Mystery, Thriller","Director:, Kurtis David Harder, | ,     Stars:, Emily Tennant, , Rory J Saper, , Cassandra Naud, , Justin Sams","While struggling on a solo backpacking trip in Thailand, social media influencer Madison meets CW, who travels with ease and shows her a more uninhibited way of living, but CW's interest in her takes a darker turn.",6.1,92 min,,2274,
Renfield,tt11358390,2023,"Comedy, Fantasy, Horror","Director:, Chris McKay, | ,     Stars:, Nicholas Hoult, , Nicolas Cage, , Awkwafina, , Ben Schwartz","Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.",6.4,93 min,R,42385,
Beau Is Afraid,tt13521006,2023,"Comedy, Drama, Horror","Director:, Ari Aster, | ,     Stars:, Joaquin Phoenix, , Patti LuPone, , Amy Ryan, , Nathan Lane","Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.",7.1,179 min,R,18547,
The Pope's Exorcist,tt13375076,2023,"Horror, Thriller","Director:, Julius Avery, | ,     Stars:, Russell Crowe, , Daniel Zovatto, , Alex Essoe, , Franco Nero","Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.",6.1,103 min,R,37239,
American Horror Story,tt1844624,2011– ,"Drama, Horror, Sci-Fi","Stars:, Lady Gaga, , Kathy Bates, , Angela Bassett, , Sarah Paulson","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert valley, and NYC.",8.0,60 min,TV-MA,327584,
The Menu,tt9764362,2022,"Comedy, Horror, Thriller","Director:, Mark Mylod, | ,     Stars:, Ralph Fiennes, , Anya Taylor-Joy, , Nicholas Hoult, , Hong Chau","A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",7.2,107 min,R,319957,
Malum,tt9472334,2023,"Drama, Horror, Thriller","Director:, Anthony DiBlasi, | ,     Stars:, Jessica Sula, , Natalie Victoria, , Sam Brooks, , Candice Coke",A rookie police officer willingly takes the last shift at a newly decommissioned police station in an attempt to uncover the mysterious connection between her father's death and a vicious cult.,5.2,92 min,,1650,
Pearl,tt18925334,2022,"Drama, Horror, Thriller","Director:, Ti West, | ,     Stars:, Mia Goth, , David Corenswet, , Tandi Wright, , Matthew Sunderland","In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.",7.0,103 min,R,59469,
