Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Dave,tt8531222,2020– ,"Comedy, Music","Stars:, Dave Burd, , Andrew Santino, , Gata, , Taylor Misiak",A neurotic mid-20s suburbanite's convinced he's destined to be one of the greatest rappers of all time. Now he's got to prove it to everyone else.,8.3,30 min,TV-MA,22457,
A Beautiful Life,tt15282148,I) (2023,"Drama, Music, Romance","Director:, Mehdi Avaz, | ,     Stars:, Christopher, , Inga Ibsdotter Lilleaas, , Christine Albeck Børge, , Ardalan Esmaili","Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party.",6.3,98 min,TV-MA,1849,
What's Love Got to Do with It,tt0108551,1993,"Biography, Drama, Music","Director:, Brian Gibson, | ,     Stars:, Angela Bassett, , Laurence Fishburne, , RaéVen Kelly, , Virginia Capers","The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",7.3,118 min,R,23232,"39,100,956"
Daisy Jones & The Six,tt8749198,2023,"Drama, Music, Romance","Stars:, Riley Keough, , Sam Claflin, , Camila Morrone, , Suki Waterhouse",Following the rise of rock band Daisy Jones and The Six through the 1970s Los Angeles music scene on their quest for worldwide icon status.,8.1,49 min,TV-MA,26548,
Pitch Perfect,tt1981677,2012,"Comedy, Music, Romance","Director:, Jason Moore, | ,     Stars:, Anna Kendrick, , Brittany Snow, , Rebel Wilson, , Anna Camp","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",7.1,112 min,PG-13,317576,"65,001,093"
Whiplash,tt2582802,2014,"Drama, Music","Director:, Damien Chazelle, | ,     Stars:, Miles Teller, , J.K. Simmons, , Melissa Benoist, , Paul Reiser",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,8.5,106 min,R,906062,"13,092,000"
Tár,tt14444726,2022,"Drama, Music","Director:, Todd Field, | ,     Stars:, Cate Blanchett, , Noémie Merlant, , Nina Hoss, , Sophie Kauer","Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra.",7.5,158 min,R,73163,
Atlanta,tt4288182,2016–2022,"Comedy, Drama, Music","Stars:, Donald Glover, , Brian Tyree Henry, , LaKeith Stanfield, , Zazie Beetz","Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",8.6,30 min,TV-MA,80675,
Almost Famous,tt0181875,2000,"Adventure, Comedy, Drama","Director:, Cameron Crowe, | ,     Stars:, Billy Crudup, , Patrick Fugit, , Kate Hudson, , Frances McDormand",A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,7.9,122 min,R,283940,"32,534,850"
Glee,tt1327801,2009–2015,"Comedy, Drama, Music","Stars:, Lea Michele, , Jane Lynch, , Matthew Morrison, , Cory Monteith",A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,6.8,44 min,TV-PG,151704,
Spinning Gold,tt2071590,2023,"Biography, Drama, Music","Director:, Timothy Scott Bogart, | ,     Stars:, Jeremy Jordan, , Michelle Monaghan, , Jay Pharoah, , Lyndsy Fonseca","A biopic of 1970s record producer Neil Bogart, co-founder of Casablanca Records.",6.2,137 min,R,678,
Elvis,tt3704428,2022,"Biography, Drama, Music","Director:, Baz Luhrmann, | ,     Stars:, Tom Hanks, , Austin Butler, , Olivia DeJonge, , Helen Thomson","The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",7.3,159 min,PG-13,208957,"151,040,048"
【Oshi No Ko】,tt21030032,2023– ,"Animation, Drama, Fantasy","Stars:, Takeo Otsuka, , Yurie Igoma, , Megumi Han, , Lynn",A doctor and his recently-deceased patient are reborn as twins to a famous Japanese musical idol and navigate the highs and lows of the Japanese entertainment industry as they grow up together through their lives.,8.8,24 min,TV-14,3218,
La La Land,tt3783958,2016,"Comedy, Drama, Music","Director:, Damien Chazelle, | ,     Stars:, Ryan Gosling, , Emma Stone, , Rosemarie DeWitt, , J.K. Simmons","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,128 min,PG-13,616171,"151,101,803"
The Pianist,tt0253474,2002,"Biography, Drama, Music","Director:, Roman Polanski, | ,     Stars:, Adrien Brody, , Thomas Kretschmann, , Frank Finlay, , Emilia Fox",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,8.5,150 min,R,857053,"32,572,577"
Everybody Hates Chris,tt0460637,2005–2009,"Comedy, Drama, Music","Stars:, Terry Crews, , Tichina Arnold, , Tequan Richmond, , Imani Hakim",A young African-American teen attempts to survive with his dysfunctional family and his all-white school in the 1980s.,7.5,22 min,TV-PG,39848,
Green Book,tt6966692,2018,"Biography, Comedy, Drama","Director:, Peter Farrelly, | ,     Stars:, Viggo Mortensen, , Mahershala Ali, , Linda Cardellini, , Sebastian Maniscalco",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,130 min,PG-13,520042,"85,080,171"
The Muppets Mayhem,tt18545980,2023– ,"Comedy, Family, Music","Stars:, Lilly Singh, , Dave Goelz, , Eric Jacobson, , Leslie Carrara-Rudolph",Follow The Muppets' band as they try to record their first ever album.,8.1,,TV-PG,1108,
Whitney Houston: I Wanna Dance with Somebody,tt12193804,2022,"Biography, Drama, Music","Director:, Kasi Lemmons, | ,     Stars:, Naomi Ackie, , Stanley Tucci, , Ashton Sanders, , Tamara Tunie","A joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, one of the greatest female R&B pop vocalists of all time, tracking her journey from obscurity to musical super stardom.",6.6,144 min,PG-13,16773,
CODA,tt10366460,2021,"Comedy, Drama, Music","Director:, Sian Heder, | ,     Stars:, Emilia Jones, , Marlee Matlin, , Troy Kotsur, , Daniel Durant","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",8.0,111 min,PG-13,146486,
Pitch Perfect 2,tt2848292,2015,"Comedy, Music","Director:, Elizabeth Banks, | ,     Stars:, Anna Kendrick, , Rebel Wilson, , Hailee Steinfeld, , Brittany Snow","After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",6.4,115 min,PG-13,163491,"184,296,230"
