Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
The Little Mermaid,tt5971474,I) (2023,"Adventure, Family, Fantasy","Director:, Rob Marshall, | ,     Stars:, Halle Bailey, , Jonah Hauer-King, , Melissa McCarthy, , Javier Bardem",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,7.2,135 min,PG,69764,
The Little Mermaid,tt0097757,1989,"Animation, Adventure, Family","Directors:, Ron Clements, , John Musker, | ,     Stars:, Jodi Benson, , Samuel E. Wright, , Rene Auberjonois, , Christopher Daniel Barnes",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,7.6,83 min,G,276508,"111,543,479"
Peter Pan & Wendy,tt5635026,2023,"Action, Adventure, Comedy","Director:, David Lowery, | ,     Stars:, Alexander Molony, , Ever Anderson, , Jude Law, , Alyssa Wapanatâhk","Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.",4.4,106 min,PG,22793,
Grease: Rise of the Pink Ladies,tt11127388,2023– ,"Comedy, Musical, Romance","Stars:, Marisa Davila, , Cheyenne Isabel Wells, , Ari Notartomaso, , Tricia Fukuhara",A spinoff of the original John Travolta and Olivia Newton John 1978 musical.,5.7,,TV-14,3214,
Aladdin,tt6139732,2019,"Adventure, Comedy, Family","Director:, Guy Ritchie, | ,     Stars:, Will Smith, , Mena Massoud, , Naomi Scott, , Marwan Kenzari",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,6.9,128 min,PG,276505,"355,559,216"
The Lion King,tt6105098,2019,"Animation, Adventure, Drama","Director:, Jon Favreau, | ,     Stars:, Donald Glover, , Beyoncé, , Seth Rogen, , Chiwetel Ejiofor","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",6.8,118 min,PG,254541,"543,638,043"
Beauty and the Beast,tt2771200,I) (2017,"Adventure, Family, Fantasy","Director:, Bill Condon, | ,     Stars:, Emma Watson, , Dan Stevens, , Luke Evans, , Josh Gad","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",7.1,129 min,PG,319766,"504,014,165"
"Lyle, Lyle, Crocodile",tt14668630,2022,"Animation, Adventure, Comedy","Directors:, Josh Gordon, , Will Speck, | ,     Stars:, Javier Bardem, , Winslow Fegley, , Shawn Mendes, , Constance Wu",Feature film based on the children's book about a crocodile that lives in New York City.,6.1,106 min,PG,11651,"46,888,441"
Sing 2,tt6467266,2021,"Animation, Adventure, Comedy","Directors:, Garth Jennings, , Christophe Lourdelet, | ,     Stars:, Matthew McConaughey, , Reese Witherspoon, , Scarlett Johansson, , Tori Kelly",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,7.4,110 min,PG,75503,"162,790,990"
Schmigadoon!,tt11808942,2021– ,"Comedy, Fantasy, Musical","Stars:, Keegan-Michael Key, , Cecily Strong, , Dove Cameron, , Kristin Chenoweth",A couple on a backpacking trip discovers a magical town in which everyone acts like they're in a classic musical.,7.4,30 min,TV-14,12820,
The Lion King,tt0110357,1994,"Animation, Adventure, Drama","Directors:, Roger Allers, , Rob Minkoff, | ,     Stars:, Matthew Broderick, , Jeremy Irons, , James Earl Jones, , Whoopi Goldberg","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,88 min,G,1086526,"422,783,777"
