Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
The Little Mermaid,tt5971474,I) (2023,"Adventure, Family, Fantasy","Director:, Rob Marshall, | ,     Stars:, Halle Bailey, , Jonah Hauer-King, , Melissa McCarthy, , Javier Bardem",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,7.2,135 min,PG,69764,
Asteroid City,tt14230388,2023,"Comedy, Drama, Romance","Director:, Wes Anderson, | ,     Stars:, Jason Schwartzman, , Scarlett Johansson, , Tom Hanks, , Jeffrey Wright",The itinerary of a Junior Stargazer convention is spectacularly disrupted by world-changing events.,6.8,104 min,PG-13,536,
Queen Charlotte: A Bridgerton Story,tt14661396,2023,"Drama, History, Romance","Stars:, India Amarteifio, , Adjoa Andoh, , Michelle Fairley, , Ruth Gemmell","Betrothed against her will to King George, young Charlotte arrives in London on her wedding day and faces scrutiny from the monarch's cunning mother.",7.3,347 min,TV-MA,33967,
Platonic,tt13366604,2023– ,"Comedy, Romance","Stars:, Rose Byrne, , Seth Rogen, , Tre Hale, , Andrew Lopez",Former childhood best friends reconnect as adults and try to get past the rift that led to their falling out.,6.8,,TV-MA,2213,
Grey's Anatomy,tt0413573,2005– ,"Drama, Romance","Stars:, Ellen Pompeo, , Chandra Wilson, , James Pickens Jr., , Justin Chambers",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,7.6,41 min,TV-14,322528,
"XO, Kitty",tt14490706,2023– ,"Comedy, Drama, Romance","Stars:, Anna Cathcart, , Minyeong Choi, , Gia Kim, , Sang Heon Lee",A new love story unfolds when teen matchmaker Kitty reunites with her long-distance boyfriend at the same boarding school attended by her late mother.,6.6,30 min,TV-14,6060,
Fake Profile,tt14494938,2023– ,"Drama, Romance, Thriller","Stars:, Carolina Miranda, , Rodolfo Salas, , Juanse Díez, , Manuela González","Camila creates a sexy profile on the online dating app Spice looking for the man of her dreams. But her dreams quickly turn into nightmares, and Camila ends up falling into a web of sex, lies, and deception.",5.8,,TV-MA,978,
The Little Mermaid,tt0097757,1989,"Animation, Adventure, Family","Directors:, Ron Clements, , John Musker, | ,     Stars:, Jodi Benson, , Samuel E. Wright, , Rene Auberjonois, , Christopher Daniel Barnes",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,7.6,83 min,G,276508,"111,543,479"
Bridgerton,tt8740790,2020– ,"Drama, History, Romance","Stars:, Nicola Coughlan, , Julie Andrews, , Luke Newton, , Luke Thompson","Wealth, lust and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",7.4,60 min,TV-MA,150704,
Modern Family,tt1442437,2009–2020,"Comedy, Drama, Romance","Stars:, Ed O'Neill, , Sofía Vergara, , Julie Bowen, , Ty Burrell",Three different but related families face trials and tribulations in their own uniquely comedic ways.,8.5,22 min,TV-PG,451357,
