Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Blood & Gold,tt18073328,2023,"Action, Drama, War","Director:, Peter Thorwarth, | ,     Stars:, Robert Maaser, , Marie Hacke, , Jördis Triebel, , Alexander Scheer","At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.",6.5,98 min,TV-MA,7101,
The Covenant,tt4873118,2023,"Action, Thriller, War","Director:, Guy Ritchie, | ,     Stars:, Jake Gyllenhaal, , Dar Salim, , Sean Sagar, , Jason Wong","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",7.5,123 min,R,47133,
Sisu,tt14846026,2022,"Action, War","Director:, Jalmari Helander, | ,     Stars:, Jorma Tommila, , Aksel Hennie, , Jack Doolan, , Mimosa Willamo","When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.",7.0,91 min,R,31613,
Band of Brothers,tt0185906,2001,"Drama, History, War","Stars:, Scott Grimes, , Damian Lewis, , Ron Livingston, , Shane Taylor","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",9.4,594 min,TV-MA,485280,
A Small Light,tt17921714,2023,"Biography, Drama, History","Stars:, Bel Powley, , Joe Cole, , Amira Casar, , Billie Boullet","Follows the remarkable story of Miep Gies, a Dutch woman who risked her life to shelter Anne Frank's family from the Nazis for more than two years during World War II.",8.4,,TV-14,4413,
The Zone of Interest,tt7160372,2023,"Drama, History, War","Director:, Jonathan Glazer, | ,     Stars:, Sandra Hüller, , Christian Friedel, , Ralph Herforth, , Max Beck","The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",8.2,105 min,,217,
Vikings,tt2306299,2013–2020,"Action, Adventure, Drama","Stars:, Katheryn Winnick, , Gustaf Skarsgård, , Alexander Ludwig, , Georgia Hirst","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",8.5,44 min,TV-MA,552456,
Hacksaw Ridge,tt2119532,2016,"Biography, Drama, History","Director:, Mel Gibson, | ,     Stars:, Andrew Garfield, , Sam Worthington, , Luke Bracey, , Teresa Palmer","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1,139 min,R,550589,"67,209,615"
M*A*S*H,tt0068098,1972–1983,"Comedy, Drama, War","Stars:, Alan Alda, , Wayne Rogers, , Loretta Swit, , Jamie Farr",The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation.,8.4,25 min,TV-PG,60125,
Saving Private Ryan,tt0120815,1998,"Drama, War","Director:, Steven Spielberg, | ,     Stars:, Tom Hanks, , Matt Damon, , Tom Sizemore, , Edward Burns","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",8.6,169 min,R,1424722,"216,540,909"
Inglourious Basterds,tt0361748,2009,"Adventure, Drama, War","Director:, Quentin Tarantino, | ,     Stars:, Brad Pitt, , Diane Kruger, , Eli Roth, , Mélanie Laurent","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",8.3,153 min,R,1493504,"120,540,719"
Apocalypse Now,tt0078788,1979,"Drama, Mystery, War","Director:, Francis Ford Coppola, | ,     Stars:, Martin Sheen, , Marlon Brando, , Robert Duvall, , Frederic Forrest",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,8.4,147 min,R,682702,"83,471,511"
All Quiet on the Western Front,tt1016150,2022,"Action, Drama, War","Director:, Edward Berger, | ,     Stars:, Felix Kammerer, , Albrecht Schuch, , Aaron Hilmer, , Moritz Klaus",A young German soldier's terrifying experiences and distress on the western front during World War I.,7.8,148 min,R,206759,
